Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
282,dbpedia,78.86821705,10821,11,664,1.224533245,1.478697726,115.7934066,1.844624587,16,1.01537967,14,4.456312721,0.96,14,0.4,0.47,,0.11
275,tweet_eval_emoji_2,39.54447703,5507,5,646,0.489136933,2.981358504,3043.967032,2.34612366,2,0,2,1,1,2,0.47,0.59,,0.27
199,yelp_review_polarity,186.5362173,9705,3,1285,0.891236523,1.53187808,1519.623056,2.139297917,2,0,2,1,0.85,2,0.39,0.67,,0.14
31,amazon_review_polarity,109.6692382,9926,16,643,0.685941378,2.111803825,2185.716959,2.544132739,3,0,2,1,0.58,2,0.52,0.75,,0.4
236,yelp_review_full,187.6242661,9366,8,1211,0.635943413,1.497555085,380.7533804,1.753522222,2,1.859996699,5,1.233958609,0.85,5,0.41,0.95,,0.6
178,yelp_review_polarity,184.2707722,9677,7,1533,0.877459775,1.522842102,1554.821786,1.550348817,2,0,2,1,0.75,2,0.38,0.62,,0.15
344,banking77__4,34.52473327,3140,6,641,0.63146076,1.794928,614.4636853,2.266341745,2,0.287500322,4,1.491647797,0.78,4,0.9,0.95,,0.68
362,banking77__4,35.4120983,3263,6,642,0.632849286,1.819528166,639.2608956,2.270726264,2,0.037585251,4,1.258298318,0.76,4,0.86,0.91,,0.7
330,banking77__4,33.69441724,3150,6,643,0.622301136,1.783673488,604.6653126,2.121344652,2,1.096313012,4,1.906693384,0.8,4,0.9,0.92,,0.7
99,dbpedia,76.2814668,10544,12,644,1.223843074,1.477747323,113.1045067,2.017025942,13,1.024118739,14,4.287509482,0.92,14,0.33,0.46,,Nan
377,dbpedia,79.31791908,10977,10,649,1.227535737,1.491128197,117.455021,1.924012605,14,1.094754541,14,5.285398867,0.94,14,0.3,0.34,,0.15
441,tweet_eval_emoji_14,38.9566474,5553,5,639,0.583092331,2.536633938,199.808704,2.000751131,5,1.252211385,14,3.963384856,0.88,14,0.66,0.76,,0.76
384,banking77__2,32.69514563,3066,6,651,0.718344389,1.839353804,1890.855711,2.218659518,2,0,2,1,0.83,2,0.82,0.85,,0.49
447,tweet_eval_emoji_10,40.43683703,5671,5,652,0.51007777,2.674545219,305.1953267,2.13703135,2,0.544980196,10,1.701658408,0.96,10,0.57,0.67,,0.68
51,dbpedia,76.45703125,10701,11,638,1.230817764,1.49047918,115.7987671,1.670536147,19,0.987944286,14,5.000886965,0.99,14,0.32,0.35,,0.12
400,banking77__10,35.67557252,3300,6,642,0.746925152,1.616864492,186.4783714,2.191891356,2,0.876616942,10,2.907809456,0.91,10,0.91,0.93,,0.82
385,tweet_eval_emoji_14,40.47900763,5703,6,643,0.609935562,2.535277611,201.6520807,2.43272144,3,0.686256117,14,4.983610361,0.88,14,0.63,0.74,,0.77
245,yelp_review_full,187.1653772,9379,5,1270,0.630168793,1.487320291,382.613145,1.85959404,2,2.0100189,5,1.855088698,0.84,5,0.39,0.89,,0.7
