Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
344,banking77__4,16.40666667,1117,6,74,3.890136069,14.08162408,4205.711724,0,0,-1.250531802,4,2.118303908,0.75,4,0.82,0.91,Nan,0.69
345,banking77__4,16.52333333,1097,7,85,3.810476384,14.20098179,4241.359893,4.113433889,2,-1.254119426,4,2.135733811,0.95,4,0.91,0.92,0.93,0.68
346,banking77__4,15.88222222,1090,5,85,3.854717554,13.99370262,4179.452517,0,0,-0.593442426,4,1.520907372,0.81,4,0.9,0.94,Nan,0.69
347,banking77__4,16.77555556,1135,5,73,3.845237277,14.10095655,4211.48569,0,0,-1,4,2.185185185,0.73,4,0.9,0.91,Nan,0.69
348,banking77__4,16.32111111,1121,5,72,3.773270358,14.33067428,4280.094719,0,0,-0.276172385,4,1.87130135,0.93,4,0.88,0.92,Nan,0.73
349,banking77__4,16.31888889,1078,5,65,3.754332907,14.54593269,4344.385231,0,0,-1.214461357,4,2.160568674,0.97,4,0.89,0.95,Nan,0.62
350,yelp_review_full,178.8888889,8965,4,1360,4.426036341,12.73039431,2848.425726,0,0,0,5,2.5,0.84,5,0.56,0.91,Nan,0.62
351,banking77__14,17.11888889,1168,5,83,7.774064955,7.793319846,531.1447218,0,0,0.954291327,14,4.630003281,0.95,14,0.89,0.91,0.92,0.76
352,amazon_review_full,98.19333333,8966,15,252,4.209233371,13.29370753,2974.46706,0,0,0.239578712,5,2.281113338,0.85,5,0.73,0.98,0.99,0.65
353,tweet_eval_emoji_10,23.38444444,4334,6,61,7.271856757,9.70447396,959.6646471,0,0,1.521632688,10,3.874296095,0.96,10,0.51,0.69,Nan,0.71
354,yelp_review_full,178.0977778,8981,6,1104,4.389297295,12.7007,2841.781625,0,0,-0.452267017,5,2.216942149,0.83,5,0.7,0.92,Nan,0.62
355,tweet_eval_emoji_4,22.6,4182,5,59,3.894230836,14.73561863,4401.038099,0,0,1.174329349,4,2.158163848,1,4,0.55,0.76,Nan,0.67
356,tweet_eval_emoji_2,22.90666667,4239,5,57,2.53382149,20.53989167,18444.82272,0,0,0,2,1,1,2,0.42,0.61,Nan,0.42
357,banking77__4,16.54555556,1125,5,89,3.840893268,14.220089,4247.066582,0,0,0.46291005,4,2,0.74,4,0.93,0.98,Nan,0.77
358,tweet_eval_emoji_2,23.05888889,4196,5,52,2.583754765,20.72010655,18606.65568,0,0,0,2,1,1,2,0.37,0.49,0.58,0.36
359,tweet_eval_emoji_4,23.43222222,4239,5,50,3.869954783,14.53883382,4342.265033,0,0,0.452061581,4,1.981025424,0.85,4,0.53,0.71,Nan,0.72
360,tweet_eval_emoji_5,23.54333333,4189,6,50,4.576799759,13.29110822,2973.885464,0,0,1.488251249,5,3.17122585,0.81,5,0.63,0.74,Nan,0.69
361,tweet_eval_emoji_4,23.15444444,4218,5,49,3.801644073,15.14000828,4521.815806,0,0,1.128847776,4,2.160901735,1,4,0.47,0.68,Nan,0.62
362,banking77__4,16.02111111,1130,6,73,3.893218134,14.15881923,4228.767345,0,0,0.418039809,4,2,0.76,4,0.86,0.95,Nan,0.61
363,ag_news,46.45,7294,14,208,3.831965393,14.68697426,4386.509645,3.050715289,2,0.779483763,4,2.113496769,0.78,4,0.56,0.57,Nan,0.16
364,banking77__4,15.91777778,1078,5,59,3.86755063,14.04211683,4193.912226,0,0,0.489897949,4,1.6416,0.96,4,0.93,0.96,0.9,0.62
365,amazon_review_polarity,101.03,8996,18,270,2.585909393,19.43748665,17454.86301,0,0,0,2,1,0.58,2,0.51,0.81,Nan,0.31
366,banking77__2,15.96777778,1138,5,75,2.606495338,19.02029231,17080.22249,0,0,0,2,1,0.94,2,0.76,0.78,0.75,0.46
367,tweet_eval_emoji_10,23.48222222,4221,5,64,7.042662977,9.410352673,930.5793199,0,0,1.160153712,10,4.36717005,0.96,10,0.59,0.66,Nan,0.72
368,tweet_eval_emoji_14,23.34111111,4180,5,61,8.929758941,8.247880081,562.1247502,0,0,0.98834284,14,5.977060203,0.88,14,0.59,0.71,Nan,0.73
369,banking77__14,16.82222222,1147,6,95,7.707310174,7.876139398,536.7891928,0,0,0.945888938,14,3.929342253,0.94,14,0.88,0.9,0.96,0.84
370,amazon_review_full,98.97,9057,16,359,4.238564619,13.13377667,2938.682529,0,0,0.616959559,5,2.111570044,0.85,5,0.74,1,0.99,0.71
371,tweet_eval_emoji_2,22.91222222,4212,5,50,2.660334559,19.67692411,17669.87785,0,0,0,2,1,0.94,2,0.33,0.52,Nan,0.36
372,amazon_review_full,98.13888889,8820,20,285,4.407809535,12.79360202,2862.568452,0,0,1.013143551,5,1.850741249,0.85,5,0.75,0.97,Nan,0.75
373,banking77__14,16.79777778,1126,5,89,7.73466544,7.873661596,536.6203211,0,0,-0.821754875,14,4.180317111,0.89,14,0.84,0.89,0.92,0.77
374,tweet_eval_emoji_5,23.21666667,4317,5,49,4.474247172,13.39376279,2996.854424,3.408336272,2,0.398373691,5,2.42139046,0.81,5,0.59,0.72,Nan,0.69
375,banking77__5,16.00555556,1068,5,65,4.36222633,12.97375344,2902.877332,0,0,1.988980632,5,2.384071972,0.85,5,0.89,0.89,0.89,0.79
376,dbpedia,66.25444444,9597,12,188,7.811092463,7.813115874,532.4938973,0,0,0.099028239,14,2.538195406,0.9,14,0.37,0.41,0.62,0.13
377,dbpedia,67.18888889,9790,10,201,7.842870604,7.827063205,533.4444615,0,0,0.439387575,14,2.36159506,0.88,14,0.36,0.37,Nan,0.13
378,tweet_eval_emoji_14,23.04222222,4123,5,47,9.130509949,8.307887167,566.2144638,0,0,0.924754475,14,5.110367211,0.88,14,0.59,0.72,Nan,0.73
379,tweet_eval_emoji_10,22.94444444,4191,5,56,6.963107421,9.574665777,946.8280602,0,0,1.14689084,10,3.699820229,0.96,10,0.59,0.68,Nan,0.72
380,banking77__2,16.34555556,1084,5,72,2.649726376,18.66048093,16757.11188,0,0,0,2,1,0.76,2,0.84,0.87,0.83,0.59
